站台编号,报站语音,站名,经度,纬度,角度,进站广告,出站广告,进站提示,出站提示,进站扩展,出站扩展,限速,站前里程,是否大站,外音开否
0,孙巷小区,孙巷小区,,,,,,,,,,25,40,起点站,是
1,长城医院,长城医院,,,,,,,,,,25,20,小站,是
2,建陵中学,建陵中学北,,,,,,,,,,25,20,大站,是
3,现代医院,现代医院,,,,,,,,,,25,20,小站,是
4,沭河中学,沭河中学,,,,,,,,,,25,20,小站,是
5,影视城,影视城,,,,,,,,,,35,20,大站,是
6,蓝天国际,蓝天国际商贸城,,,,,,,,,,35,20,小站,是
7,欧中广场,欧中广场,,,,,,,,,,35,20,小站,是
8,批发市场,批发市场,,,,,,,,,,35,20,小站,是
9,新街口,新街口,,,,,,,,,,35,20,小站,是
10,仁慈医院,仁慈医院,,,,,,,,,,35,20,小站,是
11,东方名都,东方名都,,,,,,,,,,35,20,小站,是
12,新田广场,新田广场,,,,,,,,,,35,20,小站,是
13,虞姬生态,虞姬生态园西,,,,,,,,,,35,20,小站,是
14,行政中心,行政中心,,,,,,,,,,35,20,小站,是
15,奥韵都城,奥韵都城,,,,,,,,,,35,20,小站,是
16,公安局大,公安局大楼,,,,,,,,,,35,20,小站,是
17,软件产业,软件产业园,,,,,,,,,,35,20,小站,是
18,华丽世家,华丽世家,,,,,,,,,,35,20,小站,是
19,物流中心,物流中心,,,,,,,,,,35,20,小站,是
20,时代商业,时代商业广场,,,,,,,,,,35,20,小站,是
21,月星家居,月星家居,,,,,,,,,,35,20,小站,是
22,山东商城,山东商城,,,,,,,,,,35,20,小站,是
23,梦溪街道,梦溪街道,,,,,,,,,,35,20,小站,是
24,人民医院,人民医院,,,,,,,,,,35,20,小站,是
25,汽车东站,汽车东站场外,,,,,,,,,,35,20,小站,是
26,城东停车,城东停车场,,,,,,,,,,35,20,小站,是
27,跃进社区,跃进社区,,,,,,,,,,35,20,小站,是
28,河滩庄,河滩庄,,,,,,,,,,35,20,小站,是
29,鲍庄,鲍庄,,,,,,,,,,35,20,小站,是
30,砂场东城,砂场东城水岸,,,,,,,,,,35,20,小站,是
31,章集街南,章集街南首,,,,,,,,,,35,20,小站,是
32,陈桥大街,陈桥大街北首,,,,,,,,,,35,20,小站,是
33,碧水豪庭,碧水豪庭,,,,,,,,,,35,20,小站,是
34,章集水务,章集水务站,,,,,,,,,,35,25,终点站,是
